eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
128,12.343893051147461,S,"('192.168.0.18', 5001)",1752112312.5613482
129,12.618258953094482,S,"('192.168.0.17', 5001)",1752112313.1423907
130,13.106510877609253,S,"('192.168.0.18', 5001)",1752112313.6741648
131,11.80552053451538,S,"('192.168.0.17', 5001)",1752112317.607529
132,8.09249210357666,S,"('192.168.0.16', 5001)",1752112322.4187875
133,11.878738403320312,S,"('192.168.0.18', 5001)",1752112323.7896335
134,9.684473037719727,S,"('192.168.0.16', 5001)",1752112325.6279383
135,11.069196701049805,S,"('192.168.0.16', 5001)",1752112329.106588
136,11.315577268600464,S,"('192.168.0.18', 5001)",1752112329.1387427
137,11.296002388000488,S,"('192.168.0.16', 5001)",1752112329.2044942
138,12.35631537437439,S,"('192.168.0.17', 5001)",1752112330.3357003
139,10.118021011352539,S,"('192.168.0.18', 5001)",1752112333.0176482
140,8.973979711532593,S,"('192.168.0.18', 5001)",1752112336.3798883
141,4.943399906158447,S,"('192.168.0.18', 5001)",1752112343.2223318
142,4.753658771514893,S,"('192.168.0.15', 5001)",1752112344.4659367
143,6.054523706436157,S,"('192.168.0.15', 5001)",1752112345.577759
144,2.743210554122925,S,"('192.168.0.16', 5001)",1752112349.682793
145,3.4730489253997803,S,"('192.168.0.16', 5001)",1752112350.712295
146,2.3594818115234375,S,"('192.168.0.15', 5001)",1752112355.403573
147,3.7252347469329834,S,"('192.168.0.17', 5001)",1752112355.473205
148,1.9417428970336914,S,"('192.168.0.18', 5001)",1752112361.197719
149,3.321153163909912,S,"('192.168.0.15', 5001)",1752112362.1842198
150,4.430366277694702,S,"('192.168.0.15', 5001)",1752112363.412665
151,3.7911720275878906,S,"('192.168.0.17', 5001)",1752112364.9682348
152,4.284576416015625,S,"('192.168.0.15', 5001)",1752112371.4027963
153,5.239293336868286,S,"('192.168.0.18', 5001)",1752112371.6475656
154,8.439064502716064,S,"('192.168.0.15', 5001)",1752112372.29725
155,9.112621784210205,S,"('192.168.0.17', 5001)",1752112372.3398552
156,8.850385665893555,S,"('192.168.0.15', 5001)",1752112372.8060968
157,9.633509874343872,S,"('192.168.0.16', 5001)",1752112375.9278502
158,13.37708568572998,S,"('192.168.0.18', 5001)",1752112378.2749999
159,12.550689935684204,S,"('192.168.0.17', 5001)",1752112379.28515
160,14.699615478515625,S,"('192.168.0.16', 5001)",1752112379.617777
161,13.414004802703857,S,"('192.168.0.17', 5001)",1752112380.022483
162,15.383598566055298,S,"('192.168.0.16', 5001)",1752112380.358975
163,14.903865098953247,S,"('192.168.0.18', 5001)",1752112381.18765
164,15.282925367355347,S,"('192.168.0.16', 5001)",1752112381.502581
165,12.873732566833496,S,"('192.168.0.16', 5001)",1752112386.5366838
166,8.397738456726074,S,"('192.168.0.18', 5001)",1752112389.6161
167,10.817922830581665,S,"('192.168.0.15', 5001)",1752112390.9587457
168,3.673956871032715,S,"('192.168.0.17', 5001)",1752112399.44927
169,2.8321614265441895,S,"('192.168.0.15', 5001)",1752112402.4754977
170,2.317521333694458,S,"('192.168.0.18', 5001)",1752112405.298993
171,4.875205039978027,S,"('192.168.0.16', 5001)",1752112406.192104
172,7.0360493659973145,S,"('192.168.0.16', 5001)",1752112407.5247548
173,8.131988048553467,S,"('192.168.0.18', 5001)",1752112408.2291899
174,8.611893892288208,S,"('192.168.0.18', 5001)",1752112408.2865207
175,8.286396503448486,S,"('192.168.0.18', 5001)",1752112410.2450535
176,8.391837358474731,S,"('192.168.0.17', 5001)",1752112411.320487
177,8.605447769165039,S,"('192.168.0.17', 5001)",1752112412.1529586
178,5.975255966186523,S,"('192.168.0.16', 5001)",1752112417.7972121
179,6.663310527801514,S,"('192.168.0.18', 5001)",1752112418.2332819
180,5.669310092926025,S,"('192.168.0.18', 5001)",1752112421.2170403
181,4.261070013046265,S,"('192.168.0.18', 5001)",1752112424.213728
182,3.4636735916137695,S,"('192.168.0.15', 5001)",1752112426.3734484
183,3.6986303329467773,S,"('192.168.0.18', 5001)",1752112428.176848
184,2.978311061859131,S,"('192.168.0.16', 5001)",1752112429.863417
