eva_count_list,eva_value_list
147,-0.6695771018722111
148,-0.5251009436799153
149,-0.5506722734252085
150,-0.6005035348315619
151,-0.58019114040822
152,-0.5428985791732258
153,-0.5502608826729205
154,-0.7035014084630491
155,-0.5854660916857093
156,-0.5829719774449561
157,-0.8868656325952701
158,-0.5406789909742009
159,-0.593316946535679
160,-0.5642125627155534
161,-0.5656730567336778
162,-0.6315799767171504
163,-0.5635948813591021
164,-0.5696422431569264
165,-0.6022349649764627
166,-0.5944726639832136
167,-0.6306355099763467
168,-0.8419527984998183
169,-0.6171734459271208
170,-0.6120667702835176
171,-0.5064683106172057
172,-0.5572502040747677
173,-0.520455613078704
174,-0.5573271612290995
175,-0.6757760227348116
176,-0.5460033950987307
177,-0.5786195193032109
178,-0.6093193965762559
179,-0.5364522834199991
180,-0.6747519499428142
181,-0.5887510706420882
182,-0.5802373865160552
183,-0.6065963891461278
184,-0.6343464661617191
185,-0.6047665085311987
186,-0.5566165317780991
187,-0.5767333129696868
188,-0.5567833403320473
189,-0.5675063696753033
190,-0.6041859806366741
191,-0.6015567164569422
192,-0.6177250435270081
193,-0.6025929139089926
194,-0.6907021529630577
195,-0.6447991861967647
196,-0.5903118464565618
197,-0.572628770681791
198,-0.5574586271860095
199,-0.6011753057358946
200,-0.5826565980284351
201,-0.6704623829141287
202,-0.6093538083278659
203,-0.5664303429637214
204,-0.5970985708536429
205,-0.6343122015758337
206,-0.5852951123121463
207,-0.5686599025490906
208,-0.5481192549345519
209,-0.5764294068804684
210,-0.5670912446188346
211,-0.604225663117142
212,-0.5969046392114835
213,-0.6330131768027687
214,-0.5354622870290868
215,-0.5211914944635749
216,-0.5902470109489703
217,-0.5622539785272989
218,-0.5704627531591047
219,-0.5672529045038984
220,-0.5488342622325457
221,-0.6328215097227424
222,-0.6303518665772274
223,-0.5614825815639375
224,-0.5968923758117611
225,-0.5572872895941823
226,-0.6003347147292749
227,-0.5760089075038811
228,-0.49040097388919185
229,-0.5328858501524524
230,-0.5615671478691969
231,-0.5373742349153408
232,-0.6222102232888844
233,-0.6226326509176114
234,-0.5840268949294265
235,-0.529492345529346
236,-0.59562887766258
237,-0.6198888769191471
238,-0.5724507232270122
239,-0.5660496016245196
240,-0.5084574739133345
241,-0.5491217132715446
242,-0.6445188001043225
243,-0.5795658026108536
244,-0.57507099716131
245,-0.5692530123537386
246,-0.5440522899628729
247,-0.5543519034432016
248,-0.599018598370157
249,-0.5701948561572876
250,-0.54304016921587
251,-0.5970760157702192
252,-0.6405153208225298
253,-0.5902146850640159
254,-0.5280498737788888
255,-0.5654476279880785
256,-0.5758698067757567
257,-0.6108308054572941
258,-0.5479329341530004
259,-0.6722029921841047
260,-0.5919343001263055
261,-0.5164998464665544
262,-0.4992554035284372
263,-0.537305686039665
264,-0.6593877710494542
265,-0.6010722612842777
266,-0.5150481119624325
267,-0.6253639400859475
268,-0.5429690725736676
269,-0.6275148844283649
270,-0.6020459856221638
271,-0.6264001402102901
272,-0.6155018848121033
273,-1.0682382763156812
274,-0.5800647763047646
275,-0.6287877811867836
276,-0.6244569769321902
277,-0.6335698822315716
278,-0.5684130813083506
279,-0.7052596654604448
280,-0.6349068395011852
281,-0.5432389887079105
282,-0.5458122880430238
283,-0.5888914690800242
284,-0.5828503636659962
285,-0.5952764239890014
286,-0.5932249683873824
287,-0.5956100491955574
288,-0.6270107497954336
289,-0.5451807871655869
290,-0.5596877070380311
